Make,Model,Type,Origin,DriveTrain,MSRP
Acura,MDX,SUV,Asia,All,36945
Acura,RSX Type S 2dr,Sedan,Asia,Front,23820
Acura,TSX 4dr,Sedan,Asia,Front,26990
Acura,TL 4dr,Sedan,Asia,Front,33195
Acura,3.5 RL 4dr,Sedan,Asia,Front,43755
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,46100
Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,89765
Audi,A4 1.8T 4dr,Sedan,Europe,Front,25940
Audi,A41.8T convertible 2dr,Sedan,Europe,Front,35940
Audi,A4 3.0 4dr,Sedan,Europe,Front,31840
Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,All,33430
Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,All,34480
Audi,A6 3.0 4dr,Sedan,Europe,Front,36640
Audi,A6 3.0 Quattro 4dr,Sedan,Europe,All,39640
Audi,A4 3.0 convertible 2dr,Sedan,Europe,Front,42490
Audi,A4 3.0 Quattro convertible 2dr,Sedan,Europe,All,44240
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,Europe,All,42840
Audi,A6 4.2 Quattro 4dr,Sedan,Europe,All,49690
Audi,A8 L Quattro 4dr,Sedan,Europe,All,69190
Audi,S4 Quattro 4dr,Sedan,Europe,All,48040
Audi,RS 6 4dr,Sports,Europe,Front,84600
Audi,TT 1.8 convertible 2dr (coupe),Sports,Europe,Front,35940
Audi,TT 1.8 Quattro 2dr (convertible),Sports,Europe,All,37390
Audi,TT 3.2 coupe 2dr (convertible),Sports,Europe,All,40590
Audi,A6 3.0 Avant Quattro,Wagon,Europe,All,40840
Audi,S4 Avant Quattro,Wagon,Europe,All,49090
BMW,X3 3.0i,SUV,Europe,All,37000
BMW,X5 4.4i,SUV,Europe,All,52195
BMW,325i 4dr,Sedan,Europe,Rear,28495
BMW,325Ci 2dr,Sedan,Europe,Rear,30795
BMW,325Ci convertible 2dr,Sedan,Europe,Rear,37995
BMW,325xi 4dr,Sedan,Europe,All,30245
BMW,330i 4dr,Sedan,Europe,Rear,35495
BMW,330Ci 2dr,Sedan,Europe,Rear,36995
BMW,330xi 4dr,Sedan,Europe,All,37245
BMW,525i 4dr,Sedan,Europe,Rear,39995
BMW,330Ci convertible 2dr,Sedan,Europe,Rear,44295
BMW,530i 4dr,Sedan,Europe,Rear,44995
BMW,545iA 4dr,Sedan,Europe,Rear,54995
BMW,745i 4dr,Sedan,Europe,Rear,69195
BMW,745Li 4dr,Sedan,Europe,Rear,73195
BMW,M3 coupe 2dr,Sports,Europe,Rear,48195
BMW,M3 convertible 2dr,Sports,Europe,Rear,56595
BMW,Z4 convertible 2.5i 2dr,Sports,Europe,Rear,33895
BMW,Z4 convertible 3.0i 2dr,Sports,Europe,Rear,41045
BMW,325xi Sport,Wagon,Europe,All,32845
Buick,Rainier,SUV,USA,All,37895
Buick,Rendezvous CX,SUV,USA,Front,26545
Buick,Century Custom 4dr,Sedan,USA,Front,22180
Buick,LeSabre Custom 4dr,Sedan,USA,Front,26470
Buick,Regal LS 4dr,Sedan,USA,Front,24895
Buick,Regal GS 4dr,Sedan,USA,Front,28345
Buick,LeSabre Limited 4dr,Sedan,USA,Front,32245
Buick,Park Avenue 4dr,Sedan,USA,Front,35545
Buick,Park Avenue Ultra 4dr,Sedan,USA,Front,40720
Cadillac,Escalade,SUV,USA,Front,52795
Cadillac,SRX V8,SUV,USA,Front,46995
Cadillac,CTS VVT 4dr,Sedan,USA,Rear,30835
Cadillac,Deville 4dr,Sedan,USA,Front,45445
Cadillac,Deville DTS 4dr,Sedan,USA,Front,50595
Cadillac,Seville SLS 4dr,Sedan,USA,Front,47955
Cadillac,XLR convertible 2dr,Sports,USA,Rear,76200
Cadillac,Escalade EXT,Truck,USA,All,52975
Chevrolet,Suburban 1500 LT,SUV,USA,Front,42735
Chevrolet,Tahoe LT,SUV,USA,All,41465
Chevrolet,TrailBlazer LT,SUV,USA,Front,30295
Chevrolet,Tracker,SUV,USA,Front,20255
Chevrolet,Aveo 4dr,Sedan,USA,Front,11690
Chevrolet,Aveo LS 4dr hatch,Sedan,USA,Front,12585
Chevrolet,Cavalier 2dr,Sedan,USA,Front,14610
Chevrolet,Cavalier 4dr,Sedan,USA,Front,14810
Chevrolet,Cavalier LS 2dr,Sedan,USA,Front,16385
Chevrolet,Impala 4dr,Sedan,USA,Front,21900
Chevrolet,Malibu 4dr,Sedan,USA,Front,18995
Chevrolet,Malibu LS 4dr,Sedan,USA,Front,20370
Chevrolet,Monte Carlo LS 2dr,Sedan,USA,Front,21825
Chevrolet,Impala LS 4dr,Sedan,USA,Front,25000
Chevrolet,Impala SS 4dr,Sedan,USA,Front,27995
Chevrolet,Malibu LT 4dr,Sedan,USA,Front,23495
Chevrolet,Monte Carlo SS 2dr,Sedan,USA,Front,24225
Chevrolet,Astro,Sedan,USA,All,26395
Chevrolet,Venture LS,Sedan,USA,Front,27020
Chevrolet,Corvette 2dr,Sports,USA,Rear,44535
Chevrolet,Corvette convertible 2dr,Sports,USA,Rear,51535
Chevrolet,Avalanche 1500,Truck,USA,All,36100
Chevrolet,Colorado Z85,Truck,USA,All,18760
Chevrolet,Silverado 1500 Regular Cab,Truck,USA,Rear,20310
Chevrolet,Silverado SS,Truck,USA,All,40340
Chevrolet,SSR,Truck,USA,Rear,41995
Chevrolet,Malibu Maxx LS,Wagon,USA,Front,22225
Chrysler,PT Cruiser 4dr,Sedan,USA,Front,17985
Chrysler,PT Cruiser Limited 4dr,Sedan,USA,Front,22000
Chrysler,Sebring 4dr,Sedan,USA,Front,19090
Chrysler,Sebring Touring 4dr,Sedan,USA,Front,21840
Chrysler,300M 4dr,Sedan,USA,Front,29865
Chrysler,Concorde LX 4dr,Sedan,USA,Front,24130
